title,description,price,category,image,discount,featured
Men Oversized Black Tee,Premium oversized cotton t-shirt for men,999,Streetwear,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,10,1
Men Cargo Pants,Comfortable streetwear cargo pants,1499,Streetwear,https://images.unsplash.com/photo-1473966968600-fa801b869a1a,15,1
Men Vintage Denim Jacket,Classic blue denim jacket,2499,Vintage,https://images.unsplash.com/photo-1542272604-787c3835535d,20,0
Men Luxury Polo Shirt,Premium luxury polo shirt,1999,Luxury,https://images.unsplash.com/photo-1581655353564-df123a1eb820,5,1
Men Oversized Hoodie,Heavyweight oversized hoodie,2199,Oversized,https://images.unsplash.com/photo-1556821840-3a63f95609a7,10,1
Women Oversized Hoodie,Stylish oversized hoodie for women,2299,Oversized,https://images.unsplash.com/photo-1529139574466-a303027c1d8b,15,1
Women Streetwear Tee,Trendy streetwear t-shirt for women,899,Streetwear,https://images.unsplash.com/photo-1483985988355-763728e1935b,10,0
Women Vintage Dress,Classic vintage floral dress,1899,Vintage,https://images.unsplash.com/photo-1496747611176-843222e1e57c,20,1
Women Luxury Blazer,Premium luxury blazer,3499,Luxury,https://images.unsplash.com/photo-1524504388940-b1c1722653e1,5,1
Women Cargo Joggers,Comfortable cargo joggers,1399,Streetwear,https://images.unsplash.com/photo-1506629905607-d9e7d35f4b0b,10,0
Men Leather Wallet,Genuine leather wallet,799,Luxury,https://images.unsplash.com/photo-1627123424574-724758594e93,5,1
Women Leather Handbag,Premium leather handbag,2499,Luxury,https://images.unsplash.com/photo-1584917865442-de89df76afd3,10,1
Unisex Sunglasses,Stylish UV protection sunglasses,999,Luxury,https://images.unsplash.com/photo-1511499767150-a48a237f0083,15,0
Men Cap,Casual streetwear cap,499,Streetwear,https://images.unsplash.com/photo-1521369909029-2afed882baee,0,0
Women Cap,Fashion streetwear cap,549,Streetwear,https://images.unsplash.com/photo-1576871337632-b9aef4c17ab9,0,0
Men Chain Necklace,Premium steel chain necklace,699,Luxury,https://images.unsplash.com/photo-1617038220319-276d3cfab638,10,1
Women Earrings,Designer fashion earrings,599,Luxury,https://images.unsplash.com/photo-1617038260897-41a1f14a8ca5,5,1
Unisex Backpack,Modern fashion backpack,1599,Streetwear,https://images.unsplash.com/photo-1553062407-98eeb64c6a62,10,1
Women Scarf,Soft premium scarf,399,Vintage,https://images.unsplash.com/photo-1603252109303-2751441dd157,0,0
Men Wrist Watch,Luxury stainless steel watch,3999,Luxury,https://images.unsplash.com/photo-1523170335258-f5ed11844a49,20,1
Italian Linen Polo Shirt,Crafted from premium Italian linen with a breathable tailored fit designed for timeless old money elegance and sophisticated summer styling,4999,Old Money,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,10,1
Monaco Heritage Blazer,Premium structured blazer inspired by European luxury fashion featuring refined tailoring and exceptional comfort for formal and semi formal occasions,8999,Old Money,https://images.unsplash.com/photo-1507679799987-c73779587ccf,5,1
Oxford Tailored Trousers,Classic tailored trousers made from high quality fabric offering a sharp silhouette perfect for business and luxury casual wear,4499,Old Money,https://images.unsplash.com/photo-1473966968600-fa801b869a1a,10,0
Cashmere Quarter Zip Sweater,Soft premium cashmere sweater designed for luxury comfort with a timeless old money aesthetic suitable for every season,6999,Old Money,https://images.unsplash.com/photo-1523398002811-999ca8dec234,15,1
Riviera Cotton Shirt,Lightweight luxury cotton shirt inspired by Mediterranean coastal fashion offering elegance comfort and versatility,3999,Old Money,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf,5,0
Luxury Leather Loafers,Handcrafted leather loafers designed for sophisticated gentlemen who appreciate timeless style and exceptional craftsmanship,7999,Accessories,https://images.unsplash.com/photo-1542291026-7eec264c27ff,10,1
Executive Leather Wallet,Premium genuine leather wallet featuring multiple compartments and a minimalist luxury design,2499,Accessories,https://images.unsplash.com/photo-1627123424574-724758594e93,5,1
Swiss Automatic Watch,Luxury automatic watch featuring stainless steel construction sapphire crystal glass and timeless craftsmanship,12999,Accessories,https://images.unsplash.com/photo-1523170335258-f5ed11844a49,15,1
Premium Sunglasses,Designer UV protected sunglasses crafted for modern luxury and everyday sophistication,2999,Accessories,https://images.unsplash.com/photo-1511499767150-a48a237f0083,10,1
Sterling Silver Signet Ring,Classic signet ring crafted from premium sterling silver designed for timeless elegance and luxury styling,3499,Accessories,https://images.unsplash.com/photo-1617038220319-276d3cfab638,5,1
Oversized Urban Hoodie,Heavyweight cotton hoodie designed with an oversized fit combining modern streetwear aesthetics and everyday comfort,2499,Streetwear,https://images.unsplash.com/photo-1556821840-3a63f95609a7,15,1
Streetwear Graphic Tee,Premium cotton graphic t-shirt inspired by contemporary urban culture and fashion trends,1499,Streetwear,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,10,1
Cargo Utility Pants,Modern cargo pants featuring multiple utility pockets durable fabric and a relaxed fit for streetwear enthusiasts,2999,Streetwear,https://images.unsplash.com/photo-1506629905607-d9e7d35f4b0b,15,0
Vintage Denim Jacket,Classic washed denim jacket offering timeless style durability and effortless layering options,3999,Streetwear,https://images.unsplash.com/photo-1542272604-787c3835535d,10,1
Luxury Bomber Jacket,Premium bomber jacket crafted from high quality materials designed for modern luxury and versatility,6999,Luxury,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f,20,1
